eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D50R090_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D50R090_A001194_S013,0.1,2.54995387465739e-07,0.001,0.001,0.792,20.221,37.8271,37822022,34.0,0.001,1.0,2.5499538746573902e-08,1.8674136321195144e-05,85.0,"37.697,20.082"
E01522N3585E03578N2685-BS-M754_E02116N3333_D010_S022D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02116N3333_D010_S022D50R090_A001972_S039,0.29,3.1148646225725396e-09,0.001,0.001,1.793,21.1638,33.3305,33332116,11.0,0.001,1.0,9.033107405460364e-10,1.8674136321195144e-05,28.0,"33.077,21.072"
E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D70R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D70R090_A002108_S017,0.2,1.4887807324158991e-08,0.001,0.001,1.41,20.1689,37.6022,37602016,22.0,0.001,1.0,2.9775614648317986e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S022D70R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S022D70R090_A003139_S050,0.66,1.983440205757523e-09,0.001,0.001,2.612,23.5328,33.1056,33102353,123.0,0.001,1.0,1.309070535799965e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M754_E02380N3310_D010_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02380N3310_D010_S247D50R090_A001972_S039,0.46,6.906010678054622e-09,0.001,0.001,1.965,23.8012,33.1056,33102380,49.0,0.001,1.0,3.1767649119051263e-09,1.8674136321195144e-05,49.0,"33.077,23.712"
E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S157D90R270_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S157D90R270_A003524_S022,0.3,6.618398570540548e-09,0.001,0.001,1.399,20.7364,37.6022,37602073,16.0,0.001,1.0,1.9855195711621643e-09,1.8674136321195144e-05,222.0,"37.367,20.412"
E02020N3739E02658N3366-BS-M707_E02160N3535_D010_S022D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02160N3535_D010_S022D50R270_A001194_S013,0.18,1.9132315184833948e-08,0.001,0.001,0.88,21.6075,35.3539,35352160,2.0,0.001,1.0,3.4438167332701104e-09,1.8674136321195144e-05,260.0,"35.057,21.402"
E01964N3926E02184N3685-BS-M707_E02040N3737_D010_S157D70R090_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02040N3737_D010_S157D70R090_A001194_S013,0.08,1.4896773415838053e-07,0.001,0.001,0.603,20.4002,37.3774,37372040,20.0,0.001,1.0,1.1917418732670443e-08,1.8674136321195144e-05,142.0,"37.367,20.082"
E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S337D50R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S337D50R090_A003524_S022,0.68,4.482301365232951e-09,-0.001,-0.001,2.985,19.9364,37.8271,37821993,47.0,0.001,1.0,3.0479649283584073e-09,1.8674136321195144e-05,49.0,"37.697,19.752"
E02020N3739E02658N3366-BS-M754_E02221N3557_D010_S022D50R090_A003524_S022,BS_manning003/E02020N3739E02658N3366-BS-M754_E02221N3557_D010_S022D50R090_A003524_S022,0.74,8.448302956827365e-10,0.001,0.001,2.602,22.2124,35.5788,35572221,3.0,0.001,1.0,6.25174418805225e-10,1.8674136321195144e-05,406.0,"35.387,22.062"
E01522N3585E03578N2685-BS-M754_E01913N3400_D091_S067D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E01913N3400_D091_S067D50R090_A001972_S039,0.47,2.1317232509727052e-09,0.001,0.001,2.143,19.1371,34.005,34001913,38.0,0.001,1.0,1.0019099279571714e-09,1.8674136321195144e-05,115.0,"33.737,19.092"
E01964N3926E02184N3685-BS-M754_E01988N3760_D010_S157D70R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E01988N3760_D010_S157D70R090_A003524_S022,0.33,3.096324619749939e-09,0.001,0.001,2.318,19.8851,37.6022,37601988,24.0,0.001,1.0,1.0217871245174799e-09,1.8674136321195144e-05,60.0,"37.367,19.752"
E02020N3739E02658N3366-BS-M732_E02226N3580_D010_S022D50R270_A002108_S017,BS_manning003/E02020N3739E02658N3366-BS-M732_E02226N3580_D010_S022D50R270_A002108_S017,0.26,5.373354555604584e-09,0.001,0.001,1.086,22.2667,35.8036,35802226,5.0,0.001,1.0,1.3970721844571918e-09,1.8674136321195144e-05,373.0,"35.717,22.062"
E01849N3766E02950N3220-BS-M774_E01955N3737_D010_S337D30R090_A005608_S028,BS_manning003/E01849N3766E02950N3220-BS-M774_E01955N3737_D010_S337D30R090_A005608_S028,0.62,1.201354049337738e-09,-0.001,-0.001,2.696,19.5514,37.3774,37371955,5.0,0.001,1.0,7.448395105893975e-10,1.8674136321195144e-05,12.0,"37.367,19.422"
E01849N3766E02950N3220-BS-M732_E01990N3512_D010_S022D50R090_A002108_S017,BS_manning003/E01849N3766E02950N3220-BS-M732_E01990N3512_D010_S022D50R090_A002108_S017,0.36,2.2029481803609393e-09,0.001,0.001,2.077,19.9065,35.1291,35121990,1.0,0.001,1.0,7.930613449299382e-10,1.8674136321195144e-05,1.0,"35.057,19.752"
E01964N3926E02184N3685-BS-M732_E02045N3760_D010_S337D70R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02045N3760_D010_S337D70R090_A002108_S017,0.28,3.038146947922229e-09,0.001,0.001,1.469,20.4527,37.6022,37602045,34.0,0.001,1.0,8.506811454182242e-10,1.8674136321195144e-05,222.0,"37.367,20.412"
E01522N3585E03578N2685-BS-M732_E02353N3310_D010_S247D30R270_A001180_S030,BS_manning003/E01522N3585E03578N2685-BS-M732_E02353N3310_D010_S247D30R270_A001180_S030,0.47,4.7265565203429405e-09,0.001,0.001,1.448,23.5328,33.1056,33102353,123.0,0.001,1.0,2.221481564561182e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M754_E02353N3310_D091_S067D70R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02353N3310_D091_S067D70R090_A001972_S039,0.54,6.117495961677159e-09,0.001,0.001,1.744,23.5328,33.1056,33102353,123.0,0.001,1.0,3.3034478193056663e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S067D30R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S067D30R090_A003139_S050,0.73,2.9734471504819566e-09,0.001,0.001,2.568,23.5328,33.1056,33102353,123.0,0.001,1.0,2.1706164198518282e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D30R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D30R090_A003524_S022,0.36,2.4582909481106886e-09,-0.001,-0.001,1.929,19.9364,37.8271,37821993,47.0,0.001,1.0,8.849847413198478e-10,1.8674136321195144e-05,49.0,"37.697,19.752"
E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S337D50R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S337D50R090_A003524_S022,0.51,3.101779397017977e-09,-0.001,-0.001,2.171,20.1689,37.6022,37602016,22.0,0.001,1.0,1.5819074924791682e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E02020N3739E02658N3366-BS-M707_E02148N3602_D010_S202D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02148N3602_D010_S202D50R270_A001194_S013,0.22,1.8651899616852033e-08,0.001,0.001,1.044,21.4875,36.0284,36022148,8.0,0.001,1.0,4.103417915707447e-09,1.8674136321195144e-05,416.0,"35.717,21.402"
E01964N3926E02184N3685-BS-M680_E01993N3782_D075_S337D30R090_A000638_S009,BS_manning003/E01964N3926E02184N3685-BS-M680_E01993N3782_D075_S337D30R090_A000638_S009,0.06,1.2628034236791811e-06,0.001,0.001,0.4,19.9364,37.8271,37821993,47.0,0.001,1.0,7.576820542075087e-08,1.8674136321195144e-05,49.0,"37.697,19.752"
E01522N3585E03578N2685-BS-M792_E01913N3400_D010_S247D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01913N3400_D010_S247D50R090_A004781_S062,1.09,6.913031019243422e-10,-0.002,-0.002,4.256,19.1371,34.005,34001913,38.0,0.002,1.0,7.535203810975331e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S067D50R270_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S067D50R270_A004781_S062,0.8,3.016543942127525e-09,0.001,0.001,3.931,23.5328,33.1056,33102353,123.0,0.001,1.0,2.41323515370202e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M774_E02116N3333_D010_S202D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02116N3333_D010_S202D50R090_A003139_S050,0.45,1.100313297951006e-09,-0.001,-0.001,2.33,21.1638,33.3305,33332116,11.0,0.001,1.0,4.951409840779527e-10,1.8674136321195144e-05,28.0,"33.077,21.072"
E01522N3585E03578N2685-BS-M774_E02326N3310_D010_S202D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02326N3310_D010_S202D50R090_A003139_S050,0.67,2.864591971168322e-09,0.001,0.001,2.33,23.2644,33.1056,33102326,85.0,0.001,1.0,1.919276620682776e-09,1.8674136321195144e-05,85.0,"33.077,23.052"
E01522N3585E03578N2685-BS-M732_E02353N3310_D010_S202D50R270_A001180_S030,BS_manning003/E01522N3585E03578N2685-BS-M732_E02353N3310_D010_S202D50R270_A001180_S030,0.36,1.0684814954083024e-08,0.001,0.001,1.397,23.5328,33.1056,33102353,123.0,0.001,1.0,3.846533383469889e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D90R270_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02022N3782_D010_S157D90R270_A001194_S013,0.2,7.080364273331924e-08,0.001,0.001,0.961,20.221,37.8271,37822022,34.0,0.001,1.0,1.4160728546663849e-08,1.8674136321195144e-05,85.0,"37.697,20.082"
E01522N3585E03578N2685-BS-M809_E02165N3310_D010_S022D30R090_A006995_S075,BS_manning003/E01522N3585E03578N2685-BS-M809_E02165N3310_D010_S022D30R090_A006995_S075,1.07,7.506800685884988e-10,-0.001,-0.002,4.95,21.654,33.1056,33102165,16.0,0.002,1.0,8.032276733896938e-10,1.8674136321195144e-05,16.0,"33.077,21.402"
E01964N3926E02184N3685-BS-M732_E02068N3737_D010_S337D50R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02068N3737_D010_S337D50R090_A002108_S017,0.15,1.7246452557919426e-08,0.001,0.001,0.849,20.6831,37.3774,37372068,7.0,0.001,1.0,2.586967883687914e-09,1.8674136321195144e-05,222.0,"37.367,20.412"
E02020N3739E02658N3366-BS-M707_E02287N3490_D010_S022D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02287N3490_D010_S022D50R270_A001194_S013,0.17,6.023075579290384e-08,0.001,0.001,0.603,22.8757,34.9043,34902287,3.0,0.001,1.0,1.0239228484793654e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E01522N3585E03578N2685-BS-M809_E02353N3310_D010_S067D50R090_A006995_S075,BS_manning003/E01522N3585E03578N2685-BS-M809_E02353N3310_D010_S067D50R090_A006995_S075,1.21,1.153091086010316e-09,-0.001,-0.001,5.185,23.5328,33.1056,33102353,123.0,0.001,1.0,1.3952402140724824e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M809_E02165N3310_D010_S202D50R270_A006995_S075,BS_manning003/E01522N3585E03578N2685-BS-M809_E02165N3310_D010_S202D50R270_A006995_S075,1.68,8.505673931619386e-10,0.002,0.002,7.399,21.654,33.1056,33102165,16.0,0.002,1.0,1.4289532205120568e-09,1.8674136321195144e-05,16.0,"33.077,21.402"
E01522N3585E03578N2685-BS-M792_E02040N3355_D010_S022D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E02040N3355_D010_S022D50R090_A004781_S062,0.9,5.823743778290592e-10,-0.001,-0.001,4.197,20.4015,33.5553,33552040,5.0,0.001,1.0,5.241369400461533e-10,1.8674136321195144e-05,6.0,"33.407,20.082"
E01522N3585E03578N2685-BS-M754_E02353N3310_D010_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02353N3310_D010_S247D50R090_A001972_S039,0.46,1.192296593047686e-08,0.001,0.001,2.144,23.5328,33.1056,33102353,123.0,0.001,1.0,5.484564328019356e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M774_E02299N3310_D010_S022D70R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02299N3310_D010_S022D70R090_A003139_S050,1.06,9.367690429935742e-10,0.001,0.001,3.746,22.996,33.1056,33102299,35.0,0.001,1.0,9.929751855731888e-10,1.8674136321195144e-05,58.0,"33.077,22.722"
E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D90R270_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D90R270_A003524_S022,0.71,2.2272748846105113e-09,0.001,0.001,3.493,19.9364,37.8271,37821993,47.0,0.001,1.0,1.581365168073463e-09,1.8674136321195144e-05,49.0,"37.697,19.752"
E01522N3585E03578N2685-BS-M754_E02380N3310_D091_S247D30R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02380N3310_D091_S247D30R090_A001972_S039,0.43,4.7956081211162646e-09,0.001,0.001,1.715,23.8012,33.1056,33102380,49.0,0.001,1.0,2.062111492079994e-09,1.8674136321195144e-05,49.0,"33.077,23.712"
E01522N3585E03578N2685-BS-M754_E02326N3310_D010_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02326N3310_D010_S247D50R090_A001972_S039,0.41,7.519687398525951e-09,0.001,0.001,1.988,23.2644,33.1056,33102326,85.0,0.001,1.0,3.0830718333956396e-09,1.8674136321195144e-05,85.0,"33.077,23.052"
E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S157D50R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02016N3760_D010_S157D50R090_A003524_S022,0.35,5.653742755430991e-09,-0.001,-0.001,2.219,20.1689,37.6022,37602016,22.0,0.001,1.0,1.978809964400847e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E01964N3926E02184N3685-BS-M680_E02022N3782_D010_S337D30R090_A000638_S009,BS_manning003/E01964N3926E02184N3685-BS-M680_E02022N3782_D010_S337D30R090_A000638_S009,0.05,6.912362692411593e-06,0.001,0.001,0.377,20.221,37.8271,37822022,34.0,0.001,1.0,3.4561813462057964e-07,1.8674136321195144e-05,85.0,"37.697,20.082"
E01522N3585E03578N2685-BS-M754_E01909N3378_D091_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E01909N3378_D091_S247D50R090_A001972_S039,0.38,1.5977407828830163e-09,0.001,0.001,2.289,19.0946,33.7801,33781909,29.0,0.001,1.0,6.071414974955462e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01964N3926E02184N3685-BS-M732_E02022N3782_D010_S157D50R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02022N3782_D010_S157D50R090_A002108_S017,0.18,3.1449064104318354e-08,0.001,0.001,1.242,20.221,37.8271,37822022,34.0,0.001,1.0,5.660831538777303e-09,1.8674136321195144e-05,85.0,"37.697,20.082"
E01522N3585E03578N2685-BS-M809_E02138N3310_D010_S022D70R090_A006995_S075,BS_manning003/E01522N3585E03578N2685-BS-M809_E02138N3310_D010_S022D70R090_A006995_S075,1.49,4.711270637719683e-10,-0.001,-0.001,8.066,21.3856,33.1056,33102138,15.0,0.001,1.0,7.019793250202328e-10,1.8674136321195144e-05,28.0,"33.077,21.072"
E02020N3739E02658N3366-BS-M754_E02171N3580_D010_S022D50R090_A003524_S022,BS_manning003/E02020N3739E02658N3366-BS-M754_E02171N3580_D010_S022D50R090_A003524_S022,0.74,1.412921961170147e-09,0.001,0.001,2.87,21.7122,35.8036,35802171,10.0,0.001,1.0,1.0455622512659089e-09,1.8674136321195144e-05,416.0,"35.717,21.402"
E01522N3585E03578N2685-BS-M754_E02219N3310_D010_S022D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02219N3310_D010_S022D50R090_A001972_S039,0.27,4.34927165776905e-09,0.001,0.001,1.76,22.1908,33.1056,33102219,15.0,0.001,1.0,1.1743033475976435e-09,1.8674136321195144e-05,15.0,"33.077,22.062"
E01522N3585E03578N2685-BS-M754_E02353N3310_D010_S022D50R270_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02353N3310_D010_S022D50R270_A001972_S039,0.56,1.080818375878486e-08,0.001,0.001,1.717,23.5328,33.1056,33102353,123.0,0.001,1.0,6.052582904919522e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01964N3926E02184N3685-BS-M732_E01993N3782_D010_S337D30R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E01993N3782_D010_S337D30R090_A002108_S017,0.29,5.964909303921422e-08,0.001,0.001,1.633,19.9364,37.8271,37821993,47.0,0.001,1.0,1.7298236981372124e-08,1.8674136321195144e-05,49.0,"37.697,19.752"
E01522N3585E03578N2685-BS-M792_E01940N3400_D010_S247D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01940N3400_D010_S247D50R090_A004781_S062,0.94,7.107945530087282e-10,-0.001,-0.002,3.63,19.4083,34.005,34001940,23.0,0.002,1.0,6.681468798282045e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01522N3585E03578N2685-BS-M792_E01936N3378_D010_S067D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01936N3378_D010_S067D50R090_A004781_S062,1.42,4.926183070919203e-10,-0.001,-0.002,7.564,19.3651,33.7801,33781936,25.0,0.002,1.0,6.995179960705269e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S247D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02353N3310_D010_S247D50R090_A003139_S050,0.63,4.23701390475264e-09,0.001,0.001,2.632,23.5328,33.1056,33102353,123.0,0.001,1.0,2.6693187599941633e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M774_E02353N3310_D107_S067D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02353N3310_D107_S067D50R090_A003139_S050,0.6,4.263737222517751e-09,0.001,0.001,2.428,23.5328,33.1056,33102353,123.0,0.001,1.0,2.5582423335106508e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01522N3585E03578N2685-BS-M754_E02326N3310_D010_S067D30R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E02326N3310_D010_S067D30R090_A001972_S039,0.35,5.458750393966431e-09,0.001,0.001,1.756,23.2644,33.1056,33102326,85.0,0.001,1.0,1.9105626378882507e-09,1.8674136321195144e-05,85.0,"33.077,23.052"
E01964N3926E02184N3685-BS-M732_E01993N3782_D010_S157D90R270_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E01993N3782_D010_S157D90R270_A002108_S017,0.47,7.64468571527219e-09,0.001,0.001,2.112,19.9364,37.8271,37821993,47.0,0.001,1.0,3.5930022861779292e-09,1.8674136321195144e-05,49.0,"37.697,19.752"
E02020N3739E02658N3366-BS-M707_E02215N3647_D010_S157D50R270_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02215N3647_D010_S157D50R270_A001194_S013,0.07,1.0905320695804e-06,0.001,0.001,0.317,22.1534,36.4781,36472215,3.0,0.001,1.0,7.6337244870628e-08,1.8674136321195144e-05,225.0,"36.377,22.062"
E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D50R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E01993N3782_D010_S157D50R090_A003524_S022,0.39,7.790996123542682e-09,-0.001,-0.001,2.112,19.9364,37.8271,37821993,47.0,0.001,1.0,3.038488488181646e-09,1.8674136321195144e-05,49.0,"37.697,19.752"
E01522N3585E03578N2685-BS-M792_E01936N3378_D010_S247D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01936N3378_D010_S247D50R090_A004781_S062,1.02,5.090071232112588e-10,-0.001,-0.002,3.936,19.3651,33.7801,33781936,25.0,0.002,1.0,5.19187265675484e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D50R090_A002108_S017,BS_manning003/E01964N3926E02184N3685-BS-M732_E02016N3760_D010_S157D50R090_A002108_S017,0.2,1.9949384318226525e-08,0.001,0.001,1.428,20.1689,37.6022,37602016,22.0,0.001,1.0,3.9898768636453055e-09,1.8674136321195144e-05,142.0,"37.367,20.082"
E01849N3766E02950N3220-BS-M707_E01955N3737_D010_S337D30R090_A001194_S013,BS_manning003/E01849N3766E02950N3220-BS-M707_E01955N3737_D010_S337D30R090_A001194_S013,0.09,3.035936519132642e-07,0.001,0.001,0.651,19.5514,37.3774,37371955,5.0,0.001,1.0,2.7323428672193776e-08,1.8674136321195144e-05,12.0,"37.367,19.422"
E01522N3585E03578N2685-BS-M792_E02380N3310_D010_S247D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E02380N3310_D010_S247D50R090_A004781_S062,0.73,2.041105849731371e-09,0.001,0.001,3.352,23.8012,33.1056,33102380,49.0,0.001,1.0,1.490007270303901e-09,1.8674136321195144e-05,49.0,"33.077,23.712"
E01522N3585E03578N2685-BS-M732_E02380N3310_D010_S067D50R090_A001180_S030,BS_manning003/E01522N3585E03578N2685-BS-M732_E02380N3310_D010_S067D50R090_A001180_S030,0.31,7.0537019946181735e-09,0.001,0.001,1.131,23.8012,33.1056,33102380,49.0,0.001,1.0,2.1866476183316336e-09,1.8674136321195144e-05,49.0,"33.077,23.712"
E01522N3585E03578N2685-BS-M792_E01913N3400_D010_S067D50R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01913N3400_D010_S067D50R090_A004781_S062,1.27,5.92825143575949e-10,-0.002,-0.002,8.375,19.1371,34.005,34001913,38.0,0.002,1.0,7.528879323414552e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01522N3585E03578N2685-BS-M754_E01940N3400_D091_S247D50R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E01940N3400_D091_S247D50R090_A001972_S039,0.31,2.397878854319356e-09,0.001,0.001,1.903,19.4083,34.005,34001940,23.0,0.001,1.0,7.433424448390003e-10,1.8674136321195144e-05,115.0,"33.737,19.092"
E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S022D70R090_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S022D70R090_A004781_S062,0.78,1.5638345399646526e-09,0.001,0.001,3.195,23.5328,33.1056,33102353,123.0,0.001,1.0,1.219790941172429e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S292D30R090_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02073N3760_D010_S292D30R090_A003524_S022,0.12,5.785130873055998e-07,0.001,0.001,0.889,20.7364,37.6022,37602073,16.0,0.001,1.0,6.942157047667197e-08,1.8674136321195144e-05,222.0,"37.367,20.412"
E02020N3739E02658N3366-BS-M707_E02176N3602_D010_S022D50R090_A001194_S013,BS_manning003/E02020N3739E02658N3366-BS-M707_E02176N3602_D010_S022D50R090_A001194_S013,0.15,2.6789995632856523e-08,0.001,0.001,1.076,21.7655,36.0284,36022176,9.0,0.001,1.0,4.018499344928478e-09,1.8674136321195144e-05,412.0,"35.717,21.732"
E01522N3585E03578N2685-BS-M774_E01918N3422_D010_S247D30R270_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E01918N3422_D010_S247D30R270_A003139_S050,0.66,1.6263879248224115e-09,0.001,0.001,2.614,19.18,34.2298,34221918,64.0,0.001,1.0,1.0734160303827916e-09,1.8674136321195144e-05,64.0,"34.067,19.092"
E01522N3585E03578N2685-BS-M809_E02380N3310_D010_S067D50R090_A006995_S075,BS_manning003/E01522N3585E03578N2685-BS-M809_E02380N3310_D010_S067D50R090_A006995_S075,1.5,6.565031807912366e-10,0.001,-0.001,5.023,23.8012,33.1056,33102380,49.0,0.001,1.0,9.847547711868548e-10,1.8674136321195144e-05,49.0,"33.077,23.712"
E01964N3926E02184N3685-BS-M754_E02022N3782_D010_S337D50R270_A003524_S022,BS_manning003/E01964N3926E02184N3685-BS-M754_E02022N3782_D010_S337D50R270_A003524_S022,0.41,3.041194549982934e-09,0.001,0.001,1.748,20.221,37.8271,37822022,34.0,0.001,1.0,1.2468897654930029e-09,1.8674136321195144e-05,85.0,"37.697,20.082"
E01522N3585E03578N2685-BS-M774_E02326N3310_D010_S247D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02326N3310_D010_S247D50R090_A003139_S050,0.46,2.6998373735706803e-09,0.001,0.001,2.832,23.2644,33.1056,33102326,85.0,0.001,1.0,1.241925191842513e-09,1.8674136321195144e-05,85.0,"33.077,23.052"
E01577N3897E01966N3571-BS-M732_E01936N3782_D010_S337D50R090_A002108_S017,BS_manning003/E01577N3897E01966N3571-BS-M732_E01936N3782_D010_S337D50R090_A002108_S017,0.46,1.0615651707972858e-09,0.001,0.001,2.384,19.3671,37.8271,37821936,1.0,0.001,1.0,4.883199785667514e-10,1.8674136321195144e-05,1.0,"37.697,19.092"
E01522N3585E03578N2685-BS-M774_E02245N3310_D010_S202D50R090_A003139_S050,BS_manning003/E01522N3585E03578N2685-BS-M774_E02245N3310_D010_S202D50R090_A003139_S050,0.41,1.742237136050553e-09,0.001,0.001,1.97,22.4592,33.1056,33102245,20.0,0.001,1.0,7.143172257807267e-10,1.8674136321195144e-05,20.0,"33.077,22.392"
E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S022D50R270_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E02353N3310_D010_S022D50R270_A004781_S062,0.88,3.1873534441300042e-09,0.001,0.001,2.757,23.5328,33.1056,33102353,123.0,0.001,1.0,2.804871030834404e-09,1.8674136321195144e-05,123.0,"33.077,23.382"
E01964N3926E02184N3685-BS-M707_E02016N3760_D094_S337D30R090_A001194_S013,BS_manning003/E01964N3926E02184N3685-BS-M707_E02016N3760_D094_S337D30R090_A001194_S013,0.1,1.7762119893624265e-07,0.001,0.001,0.67,20.1689,37.6022,37602016,22.0,0.001,1.0,1.7762119893624265e-08,1.8674136321195144e-05,142.0,"37.367,20.082"
